Feature,Chi-Square,df
workclass,816.2606625488617,8
education,3480.9352064262994,15
marital-status,5281.187093336345,6
occupation,3103.15504210113,14
relationship,5452.563225138183,5
race,279.0772908668222,4
sex,1188.143271397319,1
native-country,259.0584461898468,40
