Feature,Manual MI (bits)
workclass,0.021090385584518437
education,0.09177863048400683
marital-status,0.15875674692353056
occupation,0.08964304896547902
relationship,0.16879916478224496
race,0.008898890865088976
sex,0.03631050835883492
native-country,0.008843442691257069
