Feature,F-statistic,Grand Mean
age,1499.0504773913092,38.6186707645025
fnlwgt,3.4094627791056857,189549.1443334614
education-num,3210.479656236586,10.090856703803304
capital-gain,1371.3871310386598,1080.3461006530927
capital-loss,616.8775931509585,86.54018440261237
hours-per-week,1444.9322759741053,40.460776027660394
